=== Run information ===

Scheme:       weka.classifiers.lazy.KStar -B 20 -M a
Relation:     training-weka.filters.unsupervised.attribute.Remove-R1-4
Instances:    1456
Attributes:   21
              ndvi_ne
              ndvi_nw
              ndvi_se
              ndvi_sw
              precipitation_amt_mm
              reanalysis_air_temp_k
              reanalysis_avg_temp_k
              reanalysis_dew_point_temp_k
              reanalysis_max_air_temp_k
              reanalysis_min_air_temp_k
              reanalysis_precip_amt_kg_per_m2
              reanalysis_relative_humidity_percent
              reanalysis_sat_precip_amt_mm
              reanalysis_specific_humidity_g_per_kg
              reanalysis_tdtr_k
              station_avg_temp_c
              station_diur_temp_rng_c
              station_max_temp_c
              station_min_temp_c
              station_precip_mm
              total_cases
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

KStar Beta Verion (0.1b).
Copyright (c) 1995-97 by Len Trigg (trigg@cs.waikato.ac.nz).
Java port to Weka by Abdelaziz Mahoui (am14@cs.waikato.ac.nz).

KStar options : -B 20 -M a 

Time taken to build model: 0 seconds

=== Predictions on training set ===

inst#,actual,predicted,error
1,4,4,0
2,5,5,-0
3,4,4,0
4,3,3,-0
5,6,6,0
6,2,2,0
7,4,4,0
8,5,5,0
9,10,10,-0
10,6,6,0
11,8,8,0
12,2,2,0
13,6,6,0
14,17,17,0
15,23,23,0
16,13,13,0
17,21,21,0
18,28,28,-0
19,24,24,-0
20,20,20,0
21,40,40,0
22,27,27,0
23,42,42,-0
24,33,33,-0
25,43,43,0
26,37,37,0
27,57,57,-0
28,71,71,-0
29,44,44,0
30,56,56,0
31,53,53,-0
32,52,52,0
33,47,47,-0
34,26,26,-0
35,27,27,-0
36,21,21,0
37,21,21,0
38,26,26,0
39,34,34,0
40,37,37,0
41,17,17,0
42,19,19,-0
43,25,25,0
44,18,18,-0
45,21,21,0
46,17,17,0
47,17,17,0
48,16,16,0
49,16,16,0
50,15,15,0
51,23,23,0
52,16,16,0
53,17,17,-0
54,12,12,-0
55,17,17,0
56,10,10,0
57,15,15,-0
58,19,19,-0
59,21,21,0
60,14,14,0
61,18,18,-0
62,13,13,0
63,14,14,0
64,18,18,0
65,23,23,-0
66,25,25,0
67,62,62,-0
68,60,60,-0
69,76,76,-0
70,66,66,-0
71,64,64,-0
72,68,68,-0
73,89,89,-0
74,92,92,-0
75,140,140,-0
76,116,116,-0
77,142,142,-0
78,129,129,-0
79,140,140,-0
80,140,140,0
81,127,127,-0
82,129,129,-0
83,169,169,-0
84,141,141,-0
85,108,108,-0
86,78,78,0
87,70,70,-0
88,81,68.339,-12.661
89,104,104,-0
90,90,90,-0
91,85,85,-0
92,55,55,-0
93,53,53,0
94,65,65,0
95,33,33,0
96,38,38,0
97,59,59,-0
98,40,40,0
99,37,37,-0
100,29,29,0
101,30,30,-0
102,30,30,-0
103,28,28,0
104,23,23,-0
105,24,24,-0
106,29,29,0
107,26,26,0
108,23,23,0
109,20,20,0
110,19,19,0
111,20,20,0
112,26,26,-0
113,29,29,-0
114,31,31,-0
115,28,28,0
116,26,26,-0
117,32,32,0
118,35,35,0
119,33,33,-0
120,30,30,0
121,52,52,0
122,59,59,-0
123,67,67,0
124,65,65,-0
125,74,74,-0
126,70,70,-0
127,61,61,-0
128,53,53,0
129,76,76,-0
130,61,61,-0
131,57,57,0
132,44,44,-0
133,34,34,-0
134,47,47,-0
135,60,60,-0
136,60,60,-0
137,53,53,-0
138,36,36,0
139,31,31,-0
140,30,24.675,-5.325
141,32,32,-0
142,28,28,-0
143,33,33,0
144,33,33,-0
145,35,35,0
146,22,22,0
147,13,13,0
148,13,13,0
149,21,21,-0
150,17,17,-0
151,11,11,-0
152,8,8,0
153,8,8,0
154,6,6,0
155,6,6,0
156,7,7,0
157,12,12,0
158,17,17,0
159,10,10,0
160,10,10,0
161,18,18,0
162,19,19,0
163,12,12,0
164,22,22,0
165,12,12,0
166,21,21,0
167,18,18,0
168,16,16,0
169,16,16,0
170,22,22,-0
171,17,17,0
172,25,25,0
173,23,23,0
174,12,12,0
175,25,25,0
176,28,28,0
177,27,27,0
178,18,18,0
179,23,23,0
180,23,23,0
181,29,29,0
182,38,38,0
183,36,36,0
184,43,43,0
185,46,46,-0
186,31,31,0
187,25,25,0
188,40,40,-0
189,31,31,0
190,38,38,-0
191,30,30,-0
192,22,22,0
193,31,31,-0
194,26,26,-0
195,35,35,-0
196,36,36,-0
197,39,39,-0
198,25,25,0
199,31,31,-0
200,37,37,-0
201,33,33,0
202,25,25,-0
203,24,24,0
204,18,18,0
205,23,23,0
206,13,13,-0
207,18,18,-0
208,14,14,0
209,17,17,0
210,22,22,0
211,13,13,0
212,24,24,0
213,31,31,-0
214,34,34,-0
215,31,31,-0
216,31,31,0
217,38,38,0
218,49,49,-0
219,42,42,0
220,49,49,-0
221,55,55,-0
222,80,80,0
223,84,84,-0
224,72,72,-0
225,89,89,-0
226,115,115,-0
227,179,179,-0
228,202,202,-0
229,272,272,0
230,302,302,0
231,395,395,0
232,426,426,0
233,461,461,0
234,381,381,0
235,333,333,0
236,353,353,0
237,410,410,-0
238,364,364,0
239,359,359,0
240,288,288,0
241,221,221,0
242,149,149,0
243,112,112,0
244,154,154,-0
245,91,91,-0
246,72,72,-0
247,56,56,-0
248,46,46,0
249,37,37,-0
250,26,26,-0
251,17,17,0
252,17,17,-0
253,20,20,-0
254,11,11,0
255,7,7,0
256,16,16,0
257,14,14,-0
258,16,16,0
259,5,5,0
260,2,2,0
261,6,6,0
262,5,5,0
263,4,4,0
264,3,3,0
265,4,4,0
266,16,16,0
267,8,8,0
268,7,7,0
269,10,10,0
270,14,14,0
271,7,7,0
272,9,9,0
273,11,11,0
274,23,23,0
275,17,17,0
276,19,19,0
277,24,24,-0
278,17,17,0
279,28,28,0
280,40,40,0
281,33,33,0
282,31,31,-0
283,33,33,-0
284,29,29,0
285,30,30,-0
286,36,36,0
287,48,48,0
288,40,40,-0
289,28,28,0
290,36,36,-0
291,19,19,0
292,34,34,0
293,23,23,-0
294,17,17,0
295,17,17,0
296,23,23,-0
297,14,14,0
298,20,20,0
299,13,13,0
300,23,23,-0
301,20,20,-0
302,16,16,-0
303,16,16,0
304,23,23,0
305,14,14,0
306,15,15,0
307,4,4,0
308,5,5,0
309,5,5,0
310,11,11,0
311,11,11,0
312,7,7,0
313,4,4,0
314,6,6,0
315,5,5,0
316,2,2,0
317,4,4,-0
318,2,2,0
319,4,4,0
320,6,6,0
321,6,6,0
322,4,4,0
323,6,6,0
324,11,11,0
325,16,16,0
326,9,9,0
327,12,12,0
328,13,13,-0
329,27,27,0
330,21,21,0
331,19,19,0
332,17,17,0
333,24,24,0
334,27,27,0
335,30,30,0
336,29,29,-0
337,25,25,0
338,35,35,-0
339,33,33,0
340,30,30,0
341,29,29,0
342,31,31,0
343,29,29,0
344,22,22,-0
345,27,27,0
346,24,24,0
347,26,26,-0
348,29,29,0
349,22,22,0
350,33,33,0
351,24,24,0
352,30,30,-0
353,20,20,0
354,17,17,0
355,24,24,-0
356,28,28,-0
357,18,18,0
358,13,13,0
359,9,9,0
360,14,14,-0
361,11,11,0
362,11,11,-0
363,19,19,-0
364,10,10,-0
365,8,8,0
366,8,8,-0
367,9,9,0
368,3,3,0
369,7,7,-0
370,14,14,0
371,4,4,0
372,9,9,-0
373,14,14,0
374,7,7,0
375,9,9,0
376,3,3,0
377,3,3,0
378,14,14,-0
379,12,12,0
380,10,10,0
381,21,21,0
382,26,26,0
383,47,47,-0
384,42,42,0
385,31,31,-0
386,34,34,0
387,33,33,0
388,52,52,-0
389,56,56,0
390,70,70,0
391,112,112,0
392,70,70,0
393,47,47,-0
394,48,48,0
395,49,49,0
396,66,66,-0
397,56,56,-0
398,61,61,0
399,67,67,-0
400,64,36.203,-27.797
401,68,68,0
402,49,49,0
403,50,50,-0
404,56,56,0
405,75,75,-0
406,63,63,-0
